SMILES;type
Cc1cccc(N=c2[nH]c(-c3ccncc3)cs2)c1;SPE
Cc1[nH]c(/C=C2\C(O)=Nc3cc(-c4ccccc4)ccc32)c(C)c1CCC(=O)O;SPE
O=[N+]([O-])c1ccc(N=C(O)c2cc(Cl)ccc2O)c(Cl)c1;DOM
CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O;EOS
CCCCCCCCCCCCCCOc1ccc(C(=O)O)o1;SPE
OC(=Nc1ccc(Cl)c(Cl)c1)Nc1ccc(Cl)c(Cl)c1;EOS
CCN1CCN(Cc2ccc(-c3cc4c(=N[C@H](C)c5ccccc5)nc[nH]c4[nH]3)cc2)CC1;DOM
COc1cc(C[C@H]2c3cc(OC)c(OC)cc3CCN2C)c(Oc2cc3c(cc2OC)-c2c(OC)c(OC)cc4c2[C@H](C3)N(C)CC4)cc1OC;SPE
CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1;SPE
O=c1cc(N2CCOCC2)oc2c(-c3cccc4c3sc3ccccc34)cccc12;SPE
O=C(c1c2ccccc2cc2ccccc12)N1CCC(N2CCC[C@@H](C(=O)N3CCOCC3)C2)CC1;EOS
N=c1nc(O)c2nn[nH]c2[nH]1;EOS
Nc1ncnc2c1ncn2[C@@H]1CC[C@@H](O)[C@H]1O;EOS
CNCc1ccc(-c2cc(-c3nc(-c4ccc(S(=O)(=O)C(C)C)cc4)c[nH]c3=N)on2)cc1;EOS
CC(C)(C)NCc1ccc(Nc2ccnc3cc(Cl)ccc23)cc1O;DOM
COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2;DOM
CC[C@@]1(C2O[C@@H](C3O[C@@](O)(CO)[C@H](C)C[C@@H]3C)C[C@@H]2C)CC[C@H]([C@]2(C)CC[C@]3(C[C@H](O)[C@@H](C)[C@@H]([C@@H](C)[C@@H](OC)[C@H](C)C(=O)O)O3)O2)O1;SPE
CN(Cc1cnc2nc(=N)[nH]c(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1;SPE
CNCc1ccc(-c2cc(-c3nc(-c4ccc(S(=O)(=O)C(C)C)cc4)c[nH]c3=N)on2)cc1;SPE
Cc1[nH]c(=N)[nH]c(=N)c1-c1ccc(Cl)c(Cl)c1;DOM
Cc1c(CN2CCN(C(=O)[C@H](C)O)CC2)sc2c(N3CCOCC3)nc(-c3cnc(=N)[nH]c3)nc12;EOS
N=c1[nH]ccc2c1ncn2[C@@H]1C=C(CO)[C@@H](O)[C@H]1O;SPE
O=S(=O)(NCC1CC1)c1ccc(Nc2nccc(N3CCCc4cc(O)ccc43)n2)cc1;SPE
CC(C)C[C@H](N=C(O)[C@@H](N=C(O)c1cccc(-c2ccccc2)n1)[C@@H](C)O)B(O)O;EOS
C[C@@H]1C[C@@H]([C@H](O)CC2CC(=O)N=C(O)C2)C(=O)[C@@H](C)C1;EOS
CCN(CC)CCO[C@H]1CC[C@@]2(C)C(=CC[C@@H]3[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]32)C1;SPE
CC[C@H](CC#N)OC(O)=N[C@@H](C)c1cccc(N=C(O)Nc2ccc(-c3cnco3)c(OC)c2)c1;SPE
Cn1cnc(-c2cc3nccc(Oc4ccc(N=C(S)N=C(O)Cc5ccccc5)cc4F)c3s2)c1;SPE
CC(C)C[C@@H](C=O)N=C(O)[C@H](CC(C)C)N=C(O)[C@H](CC(C)C)N=C(O)OCc1ccccc1;EOS
CC(C)(C)c1cc(C=C(C#N)C#N)cc(C(C)(C)C)c1O;EOS
COC(=O)c1ccccc1-c1c2ccc(N)cc2[o+]c2cc(N)ccc12;SPE
COc1ccc(-c2cc3c(C)[nH]c(=N)nc3n([C@H]3CC[C@H](OCCO)CC3)c2=O)cn1;EOS
COC(=O)C[C@@](O)(CCC(C)(C)O)C(=O)O[C@@H]1C(OC)=C[C@]23CCCN2CCc2cc4c(cc2[C@@H]13)OCO4;SPE
O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21;SPE
COc1ccc(-c2cc3c(C)[nH]c(=N)nc3n([C@H]3CC[C@H](OCCO)CC3)c2=O)cn1;SPE
O=C(O)c1ccccc1-c1c2ccc(=O)cc-2oc2cc(O)ccc12;EOS
CC(C)(O)CNc1ncc(-c2ccnc(Nc3ccnc(Cl)c3)n2)c(CC2CC2)n1;EOS
CC[C@@H](C(=O)O)C1CC[C@H](C)C([C@@H](C)[C@H](O)[C@H](C)C(=O)[C@H](CC)C2O[C@]3(C=C[C@@H](O)[C@]4(CC[C@@](C)(C5CC[C@](O)(CC)[C@H](C)O5)O4)O3)[C@H](C)C[C@@H]2C)O1;SPE
COc1ccccc1[C@H](Cn1c(=O)n(C(C)(C)C(=O)O)c(=O)c2c(C)c(-c3ncco3)sc21)OC1CCOCC1;EOS
CCN(CC)c1ccc2cc(-c3nc4ccccc4[nH]3)c(=O)oc2c1;EOS
N=c1nc2ncc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)nc2c(N)[nH]1;EOS
CC(=O)C1(N)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](O)[C@H](O)CO2)C1)C(=O)c1ccccc1C3=O;SPE
COc1cc(NCc2ccc3[nH]c(=N)[nH]c(=N)c3c2C)cc(OC)c1OC;EOS
CC(C)C[C@@H](C=O)N=C(O)[C@H](CC(C)C)N=C(O)[C@H](CC(C)C)N=C(O)OCc1ccccc1;SPE
